Time,COP X (cm),COP Y (cm)
12.5161,-6.847588,-5.850342
12.53298,-5.766452,-6.124445
12.54923,-5.534582,-6.214611
12.56605,-5.177618,-6.320818
12.58236,-4.861328,-6.366142
12.59901,-4.861328,-6.366142
12.6155,-4.531758,-6.387476
12.63206,-4.429304,-6.386775
12.64863,-4.302924,-6.301988
12.6652,-4.401481,-6.3174
12.68176,-4.322686,-6.29892
12.6991,-4.322686,-6.29892
12.71595,-4.570782,-6.2259
12.73192,-4.708464,-6.147477
12.74803,-4.964157,-6.04535
12.7646,-5.112494,-5.90195
12.78116,-5.138555,-5.636928
12.79805,-5.138555,-5.636928
12.81497,-5.134039,-5.548712
12.83093,-5.318581,-5.36005
12.84804,-5.281602,-5.261551
12.864,-5.237954,-4.899758
12.88056,-5.237954,-4.899758
12.89714,-5.237954,-4.899758
12.9141,-5.371365,-4.72322
12.93107,-5.371365,-4.72322
12.94703,-5.32573,-4.553771
12.96377,-5.32573,-4.553771
12.98082,-5.328098,-4.57406
12.99677,-5.328098,-4.57406
13.0131,-5.203134,-4.503569
13.02983,-5.248931,-4.553491
13.04686,-5.248931,-4.553491
13.06281,-5.089174,-4.538341
13.07977,-5.089174,-4.538341
13.09671,-5.145719,-4.57542
13.11267,-5.137455,-4.514459
13.12906,-5.234487,-4.540498
13.14563,-5.217447,-4.5821
13.1622,-5.212702,-4.615012
13.17908,-5.212702,-4.615012
13.19582,-5.285411,-4.595563
13.21198,-5.328994,-4.594307
13.22847,-5.278833,-4.623424
13.24508,-5.272498,-4.604115
13.26214,-5.368901,-4.636032
13.2782,-5.368901,-4.636032
13.29518,-5.336152,-4.660851
13.31229,-5.331385,-4.609624
13.32829,-5.350402,-4.562216
13.34443,-5.420017,-4.580329
13.36102,-5.38357,-4.574409
13.37818,-5.38357,-4.574409
13.39419,-5.45582,-4.523321
13.41118,-5.484733,-4.515772
13.42817,-5.412856,-4.551209
13.44422,-5.536087,-4.491337
13.4604,-5.513761,-4.481146
13.47707,-5.513761,-4.481146
13.49353,-5.486502,-4.446309
13.5101,-5.469979,-4.461386
13.52666,-5.600778,-4.384333
13.54323,-5.37038,-4.35007
13.56007,-5.433693,-4.380665
13.57692,-5.433693,-4.380665
13.59293,-5.375844,-4.305717
13.6095,-5.351846,-4.360709
13.62608,-5.443547,-4.288352
13.64297,-5.437463,-4.322126
13.6592,-5.437463,-4.322126
13.67576,-5.400575,-4.320463
13.69233,-5.379705,-4.378631
13.70906,-5.349645,-4.371849
13.72546,-5.349645,-4.371849
13.74204,-5.39099,-4.328172
13.7586,-5.39099,-4.328172
13.77516,-5.487243,-4.382509
13.79173,-5.391968,-4.349547
13.80926,-5.391968,-4.349547
